Homo	0	6317.69	223	24.6202
Homo	1	106.862	223	24.6202
Homo	2	107.44	223	24.6202
Homo	3	108.102	223	24.6202
Homo	4	106.916	223	24.6202
Homo	5	108.472	223	24.6202
Sacchcere	0	2885.78	684	39.7111
Sacchcere	1	141.204	684	39.7111
Sacchcere	2	141.528	684	39.7111
Sacchcere	3	141.548	684	39.7111
Sacchcere	4	142.397	684	39.7111
Sacchcere	5	142.095	684	39.7111
DBLP-small	0	2727.16	116	23.5668
DBLP-small	1	1778.55	116	23.5668
DBLP-small	2	1720.31	116	23.5668
DBLP-small	3	1727.26	116	23.5668
DBLP-small	4	1722.34	116	23.5668
DBLP-small	5	1763.81	116	23.5668
ObamaInIsrael	0	319271.0	1004	46.458
ObamaInIsrael	1	6211.88	1004	46.458
ObamaInIsrael	2	6254.61	1004	46.458
ObamaInIsrael	3	6322.85	1004	46.458
ObamaInIsrael	4	6307.89	1004	46.458
ObamaInIsrael	5	6283.7	1004	46.458
Amazon	0	54605.8	289547	12.356
Amazon	1	6154.59	289547	12.356
Amazon	2	5938.28	289547	12.356
Amazon	3	6096.79	289547	12.356
Amazon	4	6159.53	289547	12.356
Amazon	5	5989.24	289547	12.356
Higgs	0	2818350.0	7207	113.647
Higgs	1	9909.07	7207	113.647
Higgs	2	9829.46	7207	113.647
Higgs	3	9761.54	7207	113.647
Higgs	4	9704.36	7207	113.647
Higgs	5	9818.02	7207	113.647
Friendfeed	0	3450020.0	4325	577.418
Friendfeed	1	11459.3	4325	577.418
Friendfeed	2	11512.9	4325	577.418
Friendfeed	3	11107.4	4325	577.418
Friendfeed	4	11230.1	4325	577.418
Friendfeed	5	11098.5	4325	577.418
DBLP-large	0	78594.2	287	60.9754
DBLP-large	1	12590.9	287	60.9754
DBLP-large	2	12620.3	287	60.9754
DBLP-large	3	12748.6	287	60.9754
DBLP-large	4	12624.0	287	60.9754
DBLP-large	5	12728.9	287	60.9754
FAO	0	85.629	74	18.2813
FAO	1	124.663	74	18.2813
FAO	2	126.382	74	18.2813
FAO	3	126.235	74	18.2813
FAO	4	126.695	74	18.2813
FAO	5	125.338	74	18.2813
StackOverflow	0	6893750.0	1751	35.4665
StackOverflow	1	53365.9	1751	35.4665
StackOverflow	2	53373.9	1751	35.4665
StackOverflow	3	53350.1	1751	35.4665
StackOverflow	4	53359.4	1751	35.4665
StackOverflow	5	53887.0	1751	35.4665
