0	6496.11	27092	70.1382
1	13378.3	6358	63.3721
2	19569.6	6020	62.2339
3	26036.0	5680	61.5805
4	31570.4	5406	60.5092
5	37143.4	5035	58.756
6	40834.0	4894	56.8813
7	44614.4	4897	54.846
8	48575.8	4311	52.8995
9	51211.3	4375	51.126
10	54557.5	4443	49.4876
11	58429.0	4336	48.0194
12	63622.0	4590	46.6661
13	68646.9	4221	45.5039
14	74273.2	4593	44.5242
15	80384.3	4999	43.8304
16	87424.5	4896	43.3319
17	96066.5	5184	43.0056
18	103790.0	5408	42.8835
19	113527.0	6223	43.0329
20	122663.0	5981	43.4781
21	132846.0	5961	44.1717
22	142114.0	6542	44.9827
23	152584.0	6688	45.6943
