0	1940.35	1046	39.5435
1	3298.53	880	38.2359
2	4535.1	979	37.7424
3	5683.91	811	37.4057
4	6872.23	125	36.794
5	7818.16	123	35.9689
6	8813.78	123	35.0393
7	9590.68	111	33.9371
8	10267.3	112	32.4672
9	11112.1	107	30.9972
10	12060.1	111	29.6727
11	12978.9	118	28.4803
12	13964.0	114	27.4736
13	15119.3	113	26.6886
14	16459.6	118	26.1488
15	17789.1	115	25.6553
16	19396.7	120	25.1764
17	21023.2	137	24.8195
18	22886.8	134	24.7062
19	25450.3	135	24.5554
20	27796.6	144	24.6277
21	30362.6	144	24.8772
22	32449.8	150	25.2094
23	34182.8	127	25.5706
