Homo	0	32360.6	9778	17.3222
Homo	1	526.254	9778	17.3222
Homo	2	339.465	9778	17.3222
Homo	3	273.32	9778	17.3222
Homo	4	236.777	9778	17.3222
Homo	5	216.015	9778	17.3222
Sacchcere	0	19460.1	1164	27.4761
Sacchcere	1	749.502	1351	27.392
Sacchcere	2	479.278	1347	27.3907
Sacchcere	3	381.335	1353	27.3904
Sacchcere	4	323.375	1353	27.3904
Sacchcere	5	295.282	1354	27.3911
DBLP-small	0	7739.15	119	7.96596
DBLP-small	1	2950.48	129	7.5361
DBLP-small	2	2420.3	142	7.10375
DBLP-small	3	2331.86	136	7.02021
DBLP-small	4	2179.23	143	6.85267
DBLP-small	5	2113.22	149	6.72583
ObamaInIsrael	0	978786.0	37390	75.3448
ObamaInIsrael	1	15953.5	39892	74.0585
ObamaInIsrael	2	12273.3	39935	74.0369
ObamaInIsrael	3	11177.5	39950	74.03
ObamaInIsrael	4	10228.3	39954	74.0272
ObamaInIsrael	5	9701.47	39960	74.0242
Amazon	0	225788.0	3277	14.7368
Amazon	1	32391.8	288986	13.1539
Amazon	2	20649.3	290074	13.1521
Amazon	3	16458.8	288660	13.1513
Amazon	4	14311.0	289415	13.1509
Amazon	5	13054.6	289018	13.1506
Higgs	0	26922400.0	103524	144.102
Higgs	1	123857.0	184504	138.254
Higgs	2	71827.8	184503	138.253
Higgs	3	52857.0	184491	138.254
Higgs	4	43637.2	184474	138.255
Higgs	5	38631.2	184472	138.255
Friendfeed	0	22777900.0	25649	461.379
Friendfeed	1	110565.0	25901	460.379
Friendfeed	2	64747.8	25882	460.358
Friendfeed	3	47927.5	25879	460.354
Friendfeed	4	39579.5	25684	460.35
Friendfeed	5	34147.0	25891	460.347
DBLP-large	0	403388.0	287	13.0
DBLP-large	1	34514.6	729	11.0042
DBLP-large	2	26012.4	748	10.8826
DBLP-large	3	22584.7	751	10.8638
DBLP-large	4	20693.2	753	10.8511
DBLP-large	5	19502.3	754	10.8449
FAO	0	10352.5	79	15.2192
FAO	1	126.686	79	15.2192
FAO	2	126.438	79	15.2192
FAO	3	126.587	79	15.2192
FAO	4	126.373	79	15.2192
FAO	5	127.76	79	15.2192
StackOverflow	0	56470400.0	4378	38.8947
StackOverflow	1	324509.0	4846	38.0182
StackOverflow	2	193264.0	4819	38.0149
StackOverflow	3	151319.0	4791	38.0131
StackOverflow	4	130601.0	4805	38.0114
StackOverflow	5	116832.0	4803	38.0104
